t=2026-05-22T00:08:10+0530 lvl=info msg="no configuration paths supplied"
t=2026-05-22T00:08:10+0530 lvl=info msg="using configuration at default config path" path=C:\\Users\\prakhar\\AppData\\Local/ngrok/ngrok.yml
t=2026-05-22T00:08:10+0530 lvl=info msg="open config file" path=C:\\Users\\prakhar\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-05-22T02:20:32+0530 lvl=info msg="join connections" obj=join id=78c284ba1671 l=[::1]:8080 r=80.79.7.105:26297
t=2026-05-22T02:20:32+0530 lvl=info msg="join connections" obj=join id=8a572cb8ee53 l=[::1]:8080 r=80.79.7.105:26297
t=2026-05-22T02:20:32+0530 lvl=info msg="join connections" obj=join id=3101f5b48c68 l=[::1]:8080 r=80.79.7.105:26297
t=2026-05-22T02:21:03+0530 lvl=info msg="join connections" obj=join id=aefdd3b08cdd l=[::1]:8080 r=80.79.7.105:26297
t=2026-05-22T02:21:03+0530 lvl=info msg="join connections" obj=join id=bab797338386 l=[::1]:8080 r=80.79.7.105:26297
t=2026-05-22T02:21:03+0530 lvl=info msg="join connections" obj=join id=6c552db8efda l=[::1]:8080 r=80.79.7.105:26297
t=2026-05-22T02:21:03+0530 lvl=info msg="join connections" obj=join id=d1d9912534d3 l=[::1]:8080 r=80.79.7.105:26297
t=2026-05-22T02:21:05+0530 lvl=info msg="join connections" obj=join id=fd47c832aabb l=[::1]:8080 r=80.79.7.105:8515
t=2026-05-22T02:21:05+0530 lvl=info msg="join connections" obj=join id=71b664cf62bb l=[::1]:8080 r=80.79.7.105:8515
t=2026-05-22T02:21:05+0530 lvl=info msg="join connections" obj=join id=d25cdda39c2a l=[::1]:8080 r=80.79.7.105:8515
t=2026-05-22T02:21:05+0530 lvl=info msg="join connections" obj=join id=ce0aaa9b4619 l=[::1]:8080 r=80.79.7.105:8515
t=2026-05-22T02:21:05+0530 lvl=info msg="join connections" obj=join id=2a5b15060e5a l=[::1]:8080 r=80.79.7.105:8515
